onchain_builder_project_id,devtooling_project_id,dependency_source
Db8NOUJfbffKFKzkzQogIQiTfagCXS7WMOn+kkq6mN8=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
dOKZpVgYpZmAJZ+f0bYZWqKGpkz25Klgk4ZjY/fdyAc=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,jYjf3SP3IiJ9lfEBt7gj8Me79zJFbihTR+zuHZXuQPA=,NPM
WgB1eucf6VjOlWWpAcy1UDnSesBuFdaIQ8jV/LXsGY8=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
eid5gZ3mC0JHbMYg33dvcofcqwp2cvkhO3LZAt8fl7A=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
iaCxomKbziHx/iiLlm9VAiA7rBKvS2KVUXZm9hL2hh8=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,R04wCZhk2yd96qDs1j6TL2jMhi5toVCbetozykh0ojA=,NPM
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,H2p6ZEPnv576Z8J4kfoovzAtg0SAMqG/HzQDAoZkJOA=,RUST
Q3otD2dVMuz3OUvC1yAKkIrl9KIt8ksR1rOXG/vLvfI=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
YmNg07FUN1wtq/iVOviQ90GA+WW5MY6UtBWgxc1f+TE=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
RtKY/jR/ZQZcFZ3+6BIol7NCIenNffgO59/55hceklc=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
Y9rXNLJ/h4thc8N6RaRQEp6qaOyGsTOF8UV+xttzzK4=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
ZzH9XQNZ7nWOlugpkz8GaQQEmQzx1rKxaPrvhJ+l87Y=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
LwtDC39OJgJjYwFAbn/kDkKJgaxSy6Rezg+lQhBAbMQ=,jD1XHm/vOqe4VURVumfnsrgIOnwlL4eTm/2Lox+UqCI=,NPM
d/gf5vTta/zoBkD82jherLCvkL7/uNq8Q32GB8AkyHA=,kGf2n8nHqdHW+W72RL17yFJtup+Ycso5gTFoaP84D9E=,PIP
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
lYvFssRjPhqMZ93b3k2cx7poinUlSVwdy4KyZv6pIdc=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
As9H82L8UoJzE97yMeP4TbewafniYHdvyC68sIc/NlA=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
6tRI41WccHRSn85VxRLq9FTwuTPfR7oslGsx9BoVFdY=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
g6Z4CSsse62oS12pTQrmQ5gu1iLt74uJP5rwFgdhX1c=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
0bo+FpuyeDxXcG5AQW0QWClfmYYQ2G9yEnOqxofAKys=,R04wCZhk2yd96qDs1j6TL2jMhi5toVCbetozykh0ojA=,NPM
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
EYDF5QIkYRJ0G5JOMXy6vw4PVs0Kx3HhiT6Bk6hJp4U=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
kCF+D9wyJM2PvCFVlX9aKksPQmQEIKOsEnQUW3Bipog=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
87Uygt4CNKHiBhvGlVmFtfsKiPrxJiEXWcRnubfQUpg=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
kqujZQziAKlmF1hZHKciuM4kcUp+XOn5Fo/d+VZMa2E=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
om+w927v3zYcmk77AShf/wH4sac6MkhpIWBW0H/wYkE=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
yZEfzA9tUugnZhQ0Yqx6FvvyEHiEgXVgx6A6tpglPdw=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
UFXNRBcMQFR5sO8mg3+DC5YIMeVl8+vAc6Mv/BxIlsQ=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,R04wCZhk2yd96qDs1j6TL2jMhi5toVCbetozykh0ojA=,NPM
1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM_TRANSITIVE
+Yqnb1vNtZ7qeamha1KsaDhLsAIFFNR4ZVgM4svDOZ4=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
om+w927v3zYcmk77AShf/wH4sac6MkhpIWBW0H/wYkE=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
6W8Z79vNTFVXH6minIPAhAZ7I5YHMDq9hgEkufjDz+Q=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
6cfML/aR2XzMajfyvArr6fYfmX3qELY6+KGqVuv1hm4=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
k2yKacP1bWm7Kb+gqwS+X3TUSPr/fk406J7H+MdgO+Q=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,jD1XHm/vOqe4VURVumfnsrgIOnwlL4eTm/2Lox+UqCI=,NPM
6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
Db8NOUJfbffKFKzkzQogIQiTfagCXS7WMOn+kkq6mN8=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
