project_id,project_name,display_name,fork_count,star_count,num_packages_in_deps_dev
1zxp1YeWLiiPAWMUZMEkaQWCqtPNsPEF8TKEssAW96M=,0x202a80f0f57630d04a26464d6492b3399059ca1187943032c37652eb2468a76f,Titanoboa,26,58,1
J8oQzHF/fe+xFyOab7RW2WJKkmhybbpdGAJWp8zBqjc=,0x9d93ec97ef2d3bd4c2b8d95abac9ce0cf43e4f3eb1f05709f8282da8200e69ee,Frames.js,20,56,5
6avWWRaFmPf1QJ9ZkFFypjS7NLG9CcKGtfF3LnBGUNc=,0x1874030dc79203f106c67f2b1f6a2b600c4efe9a2c1523ae1bce46140368ad04,The book of optimism fault proof,6,56,0
J4Ws0law1PGPMKF6QjQrLAwaWHAOL6D2hzbV55UrPJs=,0x44ff313ae6fb57054de6d637adae710594180239badaf2bc51889d068f4cf02b,Modular Account,48,56,0
dTDuc2KqAMAKJIIKRog0pm3S6bZvKbYTHutR1IuvZXA=,0x471ef1b671bc421d04640a7fe832365c1aec2d298adc81f03d69a685b7cc894c,Loop Decoder,4,55,0
vCa+wBp0799NJ8j9L6UgKxKmqiLT95Zk/aQX/hXty7c=,0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,Mint Club,16,55,0
+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,0x2bb095e1f297c71da8bd4ee15097abad3b99e299fe14cd6aa704df3f36d0ae22,solidity-coverage,17,54,13
UZSaL/0UXqdDxpqfSpbeIu3OmDIpdUn8wjgU+TWzKbw=,0xf839a585342327848d4541a6fcc315404e879537a60a1370f2cd45a94283a1ba,Dappnode,21,54,3
cgPK0M6LzR2cu6RZvz9f60fBsxjCV+ekE7jnvRRtEu4=,0x2866fcc8ea2ad6cc691b8367023c08ba84a34a14685b0154ba4601b7d4981069,go-ethereum-hdwallet,20,54,1
jD1XHm/vOqe4VURVumfnsrgIOnwlL4eTm/2Lox+UqCI=,0xd63cb23c26cc3bda03b1cc2971589fd26c9d22f3bbc8f1ff2bb74613e6d1c36d,Solidity Bytes Arrays Utils Library,8,53,2
o1y6ChRZ6JOEwoiUsf/noqLXSmBlc1X9v+fNY7lA2Ns=,0xc7798704a6d730cea776c4866a9636bfa04c1201e29b6b0c99cc3603bc1bca25,Cannon,14,52,6
tgU0+wTZ4csrmBtv0Rx1Due7nJkZRor0QMe/KmJ8zg4=,0x812ea3d88c189f53197820e1c648dd32c5b937467d93602a3ba5d0b764124f90,solizard,3,51,1
KNZ4LTEwrgkp78tYIsmrPBXcF56OYLYSAGJnpA7V1AI=,0xe6eb4d61eff4e2dc2d8dba01ac1b84c1683bdb1e8d677a66fa44a72e3f8b1faf,Zabi,10,51,0
y3itseBuMJDgwYLvaJJhtGl46Ap95C8IwrPHNNIX3O0=,0xafb4dc19ccc63057da88110df49234b311044bc73b070041bb8df03e583943ab,Abi Ninja,32,47,0
DRlRg7E3PMnS28ZcGS/ymLCgrnVrLYPprOlUDFHmTAA=,0x7348ae42266ff626319e8ea5398343b847603b3cc7101b03d8e4fb2b75ea8db3,Kontrol - formal verification tool based on Foundry and KEVM,14,47,0
uP0QHz7DXCN6rd4W6pC3Jp0ftkea+iT/OTf+rcwR4Is=,0xdd8b2e68cad9afa0701c8f27bf085302b152dbca3393083d3c664e3fc75945ab,Redprint,4,46,2
KllBFOMJ9ASpCaQIN/D+I9LNDrMZTbEq9CKLA1VTbFo=,0x8967594d2978692a35fea137ba640bb42f11cad907ca6b0bd01f3718fc4c7f5b,Hats Protocol,13,46,2
8Cgztczct8fnsJW6D2OQcFRY6nClKNyOC7Le0soED94=,0xaa1b878800206da24ee7297fb202ef98a6af0fb3ec298a65ba6b675cb4f4144b,Stepan's project,27,45,0
PphtFL9u1RMOQKJy0T154cHCXdKs2Ht3LxVZUoVHKx4=,0x77a0eb2debb3ddd73bb629ae482d24771ef1b59029d28a04e13570c9e9644c44,Stereum L2 Optimism Integration,15,44,0
a2E+8HlMsk+eQvSc9WUXMAhJCnQSdDbrWA09Z9RsTQI=,0x9b014e8a2e062401d976745d9c8aafbf36bce7931586b36ecf3b9ad708bf2970,Blobscan,25,41,1
0YD5wE7ZTHXvyt8mHOdQGh+1SQTfsa8OyCz2W+G6IO4=,0x9d16b5b4cd23af3a73104b213744296c044e42deb5ff9517101e61479e4e46b1,Demeter: A DeFi Backtesting Framework for Arbitrum Developers,6,40,0
iDSZ8iz4xInsAO3aYqBnYUez/tK6LiZdejrZtWxvJSg=,0x40483b3554ae17882db98d1cfd3aae6b10ba8250736279d184fd947931ed02c3,Superfuse,0,39,2
RLahGJUg+4OwcVOavgV/Kf1Sa82z1LIi85pQBmOdLHE=,0x72d363f14ae85f47acfe748fb0a2bed73195582bb9863de18901f5dfe309b8f7,Solodit,30,39,0
35ZzBNWt/ueafBC7PqicOEqDTuuNWr0TTafOTMa1J60=,0x14eab8b10f729239d63df6c0cb85f666c3eb1f2dd440ebd003c1821f186a49da,Ethernal,22,39,2
WCwKOQkL47c1qQ2wVcJ1IcpLMGIXmFHflr4UVQsagVM=,0x513265758a3804184b6a0771d99c1a4b04d3267bacd4b914e89ff991de229f6a,Create2Deployer,4,38,0
kqcvkz/6LV6093wXMLjZAW7fKmU5r1bKNAehKDgja34=,0x5dfcf84cc8ef7eb731a8175633c8da5cd3784fe57b05409f0df745b88443c034,Simbolik - Solidity Debugger,3,38,0
R04wCZhk2yd96qDs1j6TL2jMhi5toVCbetozykh0ojA=,0xc6cac7cd3793888032cc8a9e5aef92550beeec2598f86f1ec6972ffd5b82a990,Prettier Solidity,8,38,5
EoEQvd8AiTE29DCrO9dgB/AdJoYzO95+HsX/F+qCFhY=,0xada9c2eabe94a7af5d96b3cb1765c8e3d6fb8a7f8e33f12ebd6d66feb1a807a3,Curvegrid MultiBaas,9,37,4
