project_id,project_name,display_name,total_transaction_count,total_gas_fees
lY3hN7xGe8jTGb9c9z2Sa6r2PmBV+FG9WJmC8Xwe46s=,seamless-protocol,Seamless Protocol,4625964,4.184391661360339
UGZnpKRx9QEG/+8y2PemtAIUF72J4SMm36VEADnsJ5U=,swaap-labs,Swaap Labs,4594174,1.1246787591004468
VCeNot3diK3Kt0Da9SaRDvcNI1sGdrzyjTW62JUeI0U=,rabbithole,Boost Studios,4563213,4.462558498437839
UC5tcNndmH8tCdnc342+GHveHm2UcUu0bRRWa1afnXw=,0xproject,0x,4396236,63.84048524964252
oi4zl2ydWVbAZWhnjbwNApnTmSk++LGqMoLt4LCYE4A=,overnight,Overnight+,4392755,3.872211100225774
83vU+yNqkz6za9WCowH5ml+YCTUx0b+oqNLtihWcd88=,dackieswap,DackieSwap,4318308,1.8011733898952806
jW7wQJ6s8lEOc8cb26u+RC9hh3vnUw1QPRAsOMzCxko=,swapbased,SwapBased,4300335,1.5808563350042
ZULPOm38w6Kwc/Om0NCML9/MNUoOVoMzo1krXg0N62U=,beethoven-x,Beethoven X,4230418,1.281996710572537
hYiG7idYm2fXSbbrUGZkbSHUTE74718u6TDZCbxWRT8=,rubyscore,RubyScore,3936602,1.118406418969408
SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,woonetwork,WOO Network,3806250,3.1073367066284714
basFgwEJF3xDpeeLCR22ymRbLOIjykfH6IzUdDJFTpE=,izumi-finance,iZUMi Finance,3803316,4.1204009010994
MaosL/aIz9e9RfKvumoSchQAGNcXegyuMFr3h0nOch0=,wagmi1337,WAGMI,3764236,3.555584642476021
/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,wormhole,Wormhole Foundation,3757625,1.8165486010069503
llLX5Jk4/4OKyxGhK1iYr9nQwIyNm+fNf9s53M2RjFY=,mintrich,Mint.Rich,3300032,1.878403179952726
QWbrSwFtofJISwV7Je/ij7IyqwT7e9KTQWBypHUPbec=,solv-finance,Solv Protocol,3236522,1.758065173707868
c/dKIiJnIKIxWPUPaAC30nS/TmqojvpagHXzV2L6td8=,pendle-finance,Pendle,3111056,3.5838726926554902
VGUIq4rEXtAwcesetQyta4todTNXTpvpfHvczoJu0EQ=,polynomial-protocol,Polynomial Protocol,3068251,1.1350460300514646
Zy6ZHnI5FaGA6G9Pm0+DxqvFg3pcni2pcNqd6VPbsG8=,stargate-finance,Stargate Finance,2449430,2.446334341683325
g6Z4CSsse62oS12pTQrmQ5gu1iLt74uJP5rwFgdhX1c=,paraswap,Paraswap,2401439,39.74249511586171
bnzwxyhCMzIG0ZOZOoDMEX2euxER7M/6hOePSsnlVR0=,morphex-labs,MorpheX,2352884,2.657310236593272
HG82ZJgWrvt0Nq2de4DtXoNFMaCv22KSY72BQs6+bNc=,extra-finance,Extra Finance,2305432,29.70197633949334
tI9+ol8dLfp7deTjbL+mWR3TKqivSnB0UJR4QN0Nh9M=,d-hedge,dHEDGE,2304749,13.041424180567752
v+EPc4pOnT53GyWYLFzP9nZ0CjoQ1cntyeqd+9wOnWg=,mintswapfinance,MintSwap Finance,2180939,65.0672802599106
FJFS0O1nIlton/72iXyaUccelo87s4hrKJQ6xfmQOkE=,vfat-io,vfat.io,2150676,2.583472848765782
iaCxomKbziHx/iiLlm9VAiA7rBKvS2KVUXZm9hL2hh8=,coop-records,Coop Records,2126268,0.5833559195048291
ngBRwzug+4yZnN2uE1wfoLeIsHQy9coImbvxkwYxfmk=,flayerlabs,Flayer,2104988,0.5993771453128741
4iXU/Dlz1CBdUGyuiUP6IiMJtBR+GKUn1tkbSSLOGQQ=,manifold,Manifold,2104905,3.1823183112061946
T2xZjonGPoP/QQ01b+/cISxQOkeJVwiFZrULwNUiA8s=,ftm1337-equalizer,ftm1337-equalizer,2071117,0.8809301069575498
cKV5yAmptkrG53RQ+vd6UrIQLLlm7hILNJMpDPYmQV8=,equalizer-finance,Equalizer Finance,2071117,0.8809301069575494
6tRI41WccHRSn85VxRLq9FTwuTPfR7oslGsx9BoVFdY=,javsphere,Javsphere,2055338,13.682060986721003
ri0h1baaaDcbJFS5nLgtGQYdeBlpsviqlTG24K/HfcA=,ogs-base,onchain gaias,1955118,6.39000649964872
GSKZ57Z6v+gqJ9WCtvjWJAhRCTpckr9IqrhyL3Xme4w=,mintclub-steemhunt,Mint Club,1682297,6.023975618118483
rU5cF8xxSnfmw0tq9VCl33LJXFCXqQVzqAWnWN9iWnw=,synapse,Synapse,1682255,123.63243862726459
UFXNRBcMQFR5sO8mg3+DC5YIMeVl8+vAc6Mv/BxIlsQ=,superform-xyz,Superform,1617203,5.458612585008795
SbFbagHrVLpnhXLPsZg6EYdenq1+y5k/aOkGXo32/Ww=,bunniapp,Bunniapp by Timeless Finance,1567913,0.46036834408815497
As9H82L8UoJzE97yMeP4TbewafniYHdvyC68sIc/NlA=,createx,CreateX,1567429,13.054659136879227
6UcWU7xwFGmSZ5UkcW2HE2zl+oj1pxP8yxX4xn1t+ko=,debridge-finance,deBridge,1442983,34.4899178656848
f1wR3UqmXt+Qkw8FYwqMEUNAErQVhEBJ8rq4KaxoCHw=,threshold-network,Threshold Network,1362161,0.5196277786537529
CbRyy79gatzGD0GyjO3wI5+BCx+1bVF7fTLBhwzxUoE=,symbiosis-finance,Symbiosis Finance,1347356,1.3026842194968116
WgB1eucf6VjOlWWpAcy1UDnSesBuFdaIQ8jV/LXsGY8=,stvol-official,SuperVol,1346703,1.689752917053228
n+V45H3yQjEq6XzO1rMXg3QEecnOT67HT21uXKeS3mU=,dexfinance-com,dexfinance,1340221,12.68224237957655
wjdEPix6VRVD146SVbP4jwppF24Ji4CqkBq4zv+8hpw=,owlto-finance,Owlto Finance,1332643,2.690059727148516
SH2lIijMOWBaAgXBMTxSXP6tlcGn5Hy3mzZ+eFmNRss=,bsx-exchange,BSX,1313003,18.46014219276501
InBwrPyjI4W4SszVQ8m3Vz9EenyN2Ww0BS3a7SY7dgo=,symm-io,Symmio,1291355,14.642648455129201
VsBexurZZ03LfMidjjnkmeXDDd7dcRPFoKhXchQq36A=,popcraft-themetacat,PopCraft,1285875,77.21692457536521
R/brPbiaD8+ZOgc2k4NVBYT3oWYh50xHrkVT0zKFP94=,jojoexchange,JOJO Exchange,1259929,20.895022039822415
1PqWi/6kQu3j9O311xKAqoA9vYRJjIlLefadHnswYrE=,fraxfinance,Frax Finance,1230190,0.2579645529653786
ec9PEUQwIfXCq7fpDHA2JwxwoxTgF+8o62D67ixlTbM=,compound-finance,Compound,1177844,0.7595806428713274
/TBGk7o+1DguA3UXRce79mGqWLe0ZeTzVdM9Bvvc8Gk=,nepfinance,Neptune Finance,1153632,0.20494587854740048
YHiJ6aGP9ewErBaAX0mIXKnffPEH5HMfEv+nFn0QuHU=,hop-protocol,Hop Protocol,1151130,0.19716806488013616
3z0U/ijWmmKHYCo8dU+/X5CgbX1iI10PNqB4cuqYtMU=,doginme,doginme memecoin,1118316,1.2776659519644968
OZc8hUTVvRXzEXAMJ6IqHeYqiGCecD6pH396GAijm/Y=,decent,Decent,1041015,1.2864022269698665
CEgSH0sLKChprauip73TEAlNieWnpX+HRIV5re4xPIc=,gelato,Gelato,1028214,0.21505082820132743
EYDF5QIkYRJ0G5JOMXy6vw4PVs0Kx3HhiT6Bk6hJp4U=,adrastia-oracle,Adrastia Oracle,1003545,1.6378778263943572
jVDQDrrV0r8aRWDzxJdVtTLUvjmaqMDE8SynmtPND9Y=,cyberconnecthq,CyberConnect,997293,2.72490329230939
ckq4jTDZI8VgQseutflTvtvIG5SawYliPbHPn3thsIw=,rarible,Rarible,951432,4.712906617163247
9Z+SfPCa3FJ4Q4oQ92CMXcVoe+gsLDd4wM4UdwoAmFA=,onchaingm,OnChainGM,915358,2.718204549557276
vljVm2wFJVTJOn83aGy7H8E+sXB4bjOfc2JAyCM/unI=,poopzter,Poopzter,914611,0.18668707643034832
wAHrubVV5dj+GrIz0KtzD1XqwA2MmyGmfUw74ZWFkYU=,steer-protocol,Steer Protocol,875289,0.4865591188981574
Xi15+MZYVrIgTh9Writh6LlzH1a1bhs5jTlAHNEQCxQ=,dmailofficial,Dmail Network,851543,1.2003216950821762
bT2YDJIjVtlPp1jGKrofRmJ/UaIFeUD1eq1J+jeAkbA=,reserve-protocol,Reserve Protocol,823129,0.19753402151559069
UwA+rfAJH1h9rWmpcFNmmXQgXGDkkQvjALJ3ejmCWRc=,sound-xyz,Sound.xyz,821948,1.8600221039893763
yZEfzA9tUugnZhQ0Yqx6FvvyEHiEgXVgx6A6tpglPdw=,zerion,Zerion,800145,2.618509556760958
2l+DcexWOerkhRsKXiaWZam/soE6IQ5tVe7t4K202lo=,thales,Thales,789348,0.43550772751285394
K9az3PieYYvpacdq4Vt2DwNPwtSUazI/w67P/mSVcJU=,fractal-visions,Fractal Visions,781776,7.686594830992241
ZkserrBnjmtmFrLF/9lXQKv6yiqc078kVnv+qdd2fCU=,nfts2me,NFTs2Me,772173,0.935926682321684
kCF+D9wyJM2PvCFVlX9aKksPQmQEIKOsEnQUW3Bipog=,kwenta,Kwenta,767588,11.205155224636378
0rInH1b9Mh04BAwmikdFhcH/YDDR7xg7vxtho7SyKsY=,aura,Aura Finance,756757,0.945810798545624
KLkMfahLmIEtzAbihkJ4U9p0e/3zWn0iN6xBrwN++lU=,ethereum-attestation-service,Ethereum Attestation Service,740309,0.5433804421603802
zx+dJHqx4qo8wGWwXVPOG55B/omdoN9vrtUaK6+Tsy0=,pods-media,pods.media,732482,22.8139011467388
Q3otD2dVMuz3OUvC1yAKkIrl9KIt8ksR1rOXG/vLvfI=,orbiter-finance,Orbiter Finance,729357,1.7421200246636062
Bpz11lJwENoCd32MRnz3F9poDoQ01px5TE8ftfIA6TQ=,dfarchon,DFArchon,717746,12.152815128206349
2Ie3pEkBr3DrOo3nMSfWQt4EuX4qLHGCpWQ9Us5cLys=,magpiexyz,Magpie,698923,10.10947973218792
SIoNRfJjZLggEx5EQh0PpIOHxsUr1CAMkth1qolKAkk=,exactly,Exactly,694844,0.8927138425631641
